Year,Month,Community,Total Complaints,Total Number of Callers
2017,1,Morgan Hill,336.0,2.0
2017,11,Richmond,1.0,1.0
2017,11,Half Moon Bay,649.0,5.0
2017,5,San Jose,48.0,5.0
2017,4,Mountain View,12738.0,82.0
2017,10,Redwood City,1607.0,14.0
2017,11,Los Altos,29854.0,209.0
2017,8,Redwood City,3606.0,21.0
2017,9,Alameda,45.0,3.0
2017,1,Sunnyvale,4187.0,49.0
2017,1,Foster City,669.0,14.0
2017,3,Woodside,1664.0,24.0
2017,9,Burlingame,1364.0,12.0
2017,11,San Jose,57.0,3.0
2017,9,Brookdale,4.0,1.0
2017,9,Orinda,499.0,1.0
2017,7,Woodside,2184.0,25.0
2017,6,Foster City,826.0,13.0
2017,9,Watsonville,207.0,1.0
2017,2,Santa Clara,3.0,2.0
2017,1,Los Altos Hills,8405.0,39.0
2017,1,Boulder Creek,127.0,4.0
2017,2,Watsonville,86.0,3.0
2017,1,Colma,24.0,1.0
2017,6,Oakland,11742.0,49.0
2017,3,Hillsborough,2.0,2.0
2017,9,Redwood City,2144.0,18.0
2017,10,Aptos,440.0,13.0
2017,8,Palo Alto,62459.0,299.0
2017,4,Brisbane,5462.0,45.0
2017,5,Soquel,8080.0,94.0
2017,8,Morgan Hill,951.0,2.0
2017,4,Carmel Valley,203.0,2.0
2017,4,Moraga,393.0,2.0
2017,11,Palo Alto,60552.0,259.0
2017,8,Oakland,10983.0,39.0
2017,10,Oakland,8796.0,36.0
2017,6,Redwood City,1690.0,15.0
2017,3,San Mateo,1120.0,15.0
2017,11,Berkeley,80.0,5.0
2017,8,Fremont,15.0,1.0
2017,11,Piedmont,10.0,3.0
2017,5,Santa Cruz,23092.0,139.0
2017,8,Soquel,10120.0,86.0
2017,10,South San Francisco,237.0,9.0
2017,11,East Palo Alto,9.0,2.0
2017,6,Soquel,7478.0,89.0
2017,9,Napa,1.0,1.0
2017,11,Boulder Creek,125.0,5.0
2017,8,Atherton,517.0,9.0
2017,7,Portola Valley,7655.0,48.0
2017,7,Moraga,245.0,1.0
2017,3,Piedmont,126.0,2.0
2017,4,Los Altos,38305.0,250.0
2017,4,Santa Cruz,23738.0,135.0
2017,9,Pacifica,9574.0,66.0
2017,10,Hayward,14.0,3.0
2017,7,Soquel,7007.0,85.0
2017,1,San Bruno,11.0,7.0
2017,3,San Jose,144.0,6.0
2017,1,Mount Hermon,1.0,1.0
2017,10,Los Altos,20430.0,184.0
2017,11,Ben Lomond,136.0,3.0
2017,5,Millbrae,2.0,1.0
2017,9,Oakland,9904.0,45.0
2017,5,Berkeley,410.0,2.0
2017,8,Aptos,1262.0,19.0
2017,6,Watsonville,160.0,1.0
2017,2,Cupertino,1113.0,4.0
2017,7,Mountain View,4562.0,64.0
2017,7,Lafayette,2.0,1.0
2017,5,Burlingame,66.0,11.0
2017,6,San Mateo,1470.0,15.0
2017,4,Menlo Park,3061.0,37.0
2017,3,Brisbane,6264.0,53.0
2017,1,Redwood City,1846.0,23.0
2017,11,Santa Cruz,27772.0,142.0
2017,2,Mount Hermon,1.0,1.0
2017,2,Belmont,620.0,8.0
2017,6,Los Gatos,26198.0,158.0
2017,6,South San Francisco,831.0,14.0
2017,7,Cupertino,279.0,2.0
2017,6,Sunnyvale,430.0,24.0
2017,3,San Bruno,4.0,4.0
2017,1,Kensington,1.0,1.0
